Id tin ,Tieu de tin ,Dia diem tuyen dung ,Tinh thanh tuyen dung ,Chuc vu ,Muc luong ,Hinh thuc lam viec ,Nhu cau,Nganh nghe ,Linh vuc ,Kinh nghiem ,Id cong ty 
781399,[LUONG 11 TRIEU] NHAN VIEN PHAT TRIEN DU AN - BINH THANH,"15-17 Me Linh, Phuong 19, Quan Binh Thanh, Ho Chi Minh, Viet Nam",Ho Chi Minh,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,150,"KD bat dong san, Nhan vien kinh doanh, Tu van",nhan vien phat trien mat bang,Khong yeu cau,207713
783515,TUYEN KE TOAN NOI BO LUONG TU 7 TRIEU,"Lo 5A khu CN Vinh Hung, Hoang Mai, Ha Noi",Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,150,Ke toan - Kiem toan,ke toan noi bo,1 - 2 nam kinh nghiem,211645
782291,Nhan vien Du toan,Tang 3 toa nha Phu Dien 83A Ly Thuong Kiet Hoan Kiem Ha Noi,Ha Noi,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,150,Xay dung,Ky Su Du Toan,2 - 5 nam kinh nghiem,39002
781489,Nhan vien kinh doanh thu nhap tren 50 trieu (khong ap doanh thu),57 Nguyen Quoc Tri - Trung Hoa - Cau Giay - Ha Noi,Ha Noi,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,100,"KD bat dong san, Nhan vien kinh doanh, Tu van",cong tac vien moi gioi bds,Khong yeu cau,200043
780525,Tuyen dung nhan vien hanh chinh,"Khu cong nghiep Tan Dong Hiep B ,Di An ,Binh Duong",Binh Duong,Nhan vien,7 - 10 trieu,Toan thoi gian co dinh,100,"Cham soc khach hang, Tu van, Lao dong pho thong",nhan vien tu van khach hang,Khong yeu cau,210324
782945,TUYEN DUNG TRUONG PHONG KINH DOANH,51 dao trinh nhat linh tay,Ho Chi Minh,Truong Phong,15 - 20 trieu,Toan thoi gian co dinh,70,KD bat dong san,Nhan Vien Kinh Doanh Nha Dat,0 - 1 nam kinh nghiem,208896
783118,Nhan vien lam them online luong Luong 7-9 trieu thoi gian tu do va khong can kinh nghiem 2-3h ngay,Quan Muoi Hai Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,50,"Sinh vien lam them, Nhap lieu, Nganh nghe khac",nhan vien nhap lieu excel,Khong yeu cau,77463
782338,Viec lam them cho sinh vien khong can kinh nghiem 2-3h ngay luong 5-9tr thang uy tin duoc ky hop dong,Quan Go Vap Thanh Pho Ho Chi Minh,Ho Chi Minh,Nhan vien,7 - 10 trieu,Ban thoi gian,50,"Khach san - Nha hang, Xay dung, Dau bep - phu bep",dau bep luong cao,Khong yeu cau,77463
782661,APP GAME MOBILE GRAPHIC DESIGNER,"38/6A Nguyen Van Troi, P15",Ho Chi Minh,Nhan vien,10 - 15 trieu,Toan thoi gian co dinh,50,"Thiet ke web, Truyen thong, Thiet ke - My thuat",Ui Ux Designer,1 - 2 nam kinh nghiem,86303
782438,Viec lam them buoi toi tai nha luong 7-9 trieu 1 thang thoi gian 2-3 gio 1 ngay,Thanh Pho Long Khanh Dong Nai,Dong Nai,Nhan vien,7 - 10 trieu,Ban thoi gian,50,"Sinh vien lam them, Dau bep - phu bep, Y te - Duoc",cong tac vien duoc pham,Khong yeu cau,93737
